"n","iteration","INNE_L","INNE_U","IEIN_L","IEIN_U","INNT_L","INNT_U","DNNE_L","DNNE_U","DEIN_L","DEIN_U","DNNT_L","DNNT_U","NNE_L","NNE_U","EIN_L","EIN_U","NNT_L","NNT_U"
200,1,1,51.6900935757864,1,51.4384132176598,1,51.5279100851957,1.18440815048769,1.53745412680763,1.19220582592149,1.5443301769622,1.18976098570801,1.54110694107193,1.17283756450788,1.38264749939413,1.18156790523468,1.38462957496201,1.17907617925321,1.38298640525346
200,2,1,10.7423130946135,1,9.92565900316245,1,10.2244726292637,1.07562528582387,2.58174296111132,1.05684645234124,2.55300930354688,1.06474899605445,2.56396284755262,1.18409597378558,1.56955622731934,1.17770708922063,1.49139714628413,1.18260611592818,1.51968652930225
200,3,1,80.8372616117618,1,59.0078564323107,1,65.4311323363459,1.31741638296679,2.02173512230098,1.22991654064503,1.88476523454152,1.26591045646591,1.92711739129913,1.32616241482232,1.82338854312376,1.271816648736,1.62824949819718,1.29819654665299,1.68821475168009
200,4,1,119.078688943646,1,75.6018695458961,1,87.4338798630828,1.37902588665631,2.07278810591272,1.2741124198441,1.88177881605523,1.31853123969469,1.94074409668469,1.36592365907059,1.9380871647059,1.2990088760284,1.67871461953195,1.33057784753411,1.76007604199951
200,5,14.1378114943405,26.0943979840293,47.6275983604751,67.133881765522,25.773809270513,34.0151517431807,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf,Inf
200,6,1,18.5707091866007,1,18.2710113736333,1,18.3729436212823,1.05923197573915,2.39943758947979,1.05580012817258,2.40098889015754,1.05705258201992,2.40040379628564,1.23689364660469,1.58819519495547,1.2341423611158,1.58258937433524,1.23558722072604,1.58410562077422
200,7,1,14.9034705772045,1,14.1385537444898,1,14.397657824145,1.16243282903955,2.16238133480988,1.11517331965046,2.11052470620581,1.13463974874554,2.12900236620896,1.17773094388782,1.51288211340123,1.16853484000621,1.43319874449633,1.17699560122325,1.45869339452556
200,8,1,11.0652717886912,1,10.6915023830504,1,10.8157334233645,1,2.81741552334028,1,2.7883743298997,1,2.7986835366791,1.20888568240291,1.57161298448405,1.20727382089586,1.52558771431226,1.21049729809683,1.53956143730315
200,9,1,1.98367442723933,1,1.94184584086366,1,1.95517347917484,1,487.92289831727,1,491.244369098235,1,490.104891091971,1.21992330405529,1.66236833748205,1.22262897723456,1.60235084984173,1.22356126981488,1.62064710852122
200,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,11,1,31.0280218267813,1,25.3871231705152,1,27.0255137089154,1.16496077401993,2.04999462464132,1.12463611289378,2.10259168783667,1.13896998124459,2.08413614172318,1.23250245728214,1.608551524101,1.21416509866743,1.58005382609034,1.22215624298386,1.58757947035063
200,12,1,8.26851233248294,1,8.50537298686256,1,8.39152100695865,1,3.35989612732029,1,3.3149845202222,1,3.33543186935021,1.23999884541134,1.59480833727372,1.24828070179934,1.59468153572772,1.24564805552644,1.59355703698127
200,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,14,1,14.583262024393,1,15.7007772070565,1,15.33030458004,1.00612557176455,2.21124598331232,1.03233810176109,2.19988463560196,1.02423371871609,2.2033705097938,1.16072459613262,1.4135252073783,1.18039148586716,1.43480620835646,1.17522860411378,1.42713660451974
200,15,1,3.53921632865587,1,3.43584376736067,1,3.46952885400909,1,8.7574452913235,1,8.82983077625264,1,8.80455553638069,1.24757445986573,1.643049627668,1.23864530478159,1.61921307524077,1.24292719486975,1.62615109647547
200,16,1,12.1544387019795,1,8.62853619628909,1,9.73975085767496,1.12841126807631,2.80486993590371,1,2.88088497056577,1.03764900893105,2.84894229512953,1.2244516155607,1.73046479401053,1.17915294569203,1.52096127090825,1.20414580577714,1.59242773098385
200,17,1.04930800741268,3.37609531689064,1.11444916993783,3.18155185344826,1.09180618365934,3.25568003667106,1,16.2154545623223,1,16.6199465292885,1,16.4526876245365,1.33051064199595,1.91721440037782,1.31126676039863,1.88036709524427,1.32187126739063,1.8922444308841
200,18,1,8.2470286767339,1,6.91400291809044,1,7.37775521641892,1,3.71813728393874,1,3.76810542572102,1,3.74785276956694,1.27032884277407,1.75410746972494,1.24423456317222,1.63380107103119,1.25984836212252,1.67428899271823
200,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,20,13.3067858700373,69.0539160759517,28.8941568933688,82.5238951085148,21.6690197533948,62.7372873597039,Inf,Inf,1,1.14223389976945,1,1.12677857825975,1.03328659479678,1.22435315597126,1.05787367517817,1.25764692126738,1.05138421468105,1.23990820781587
200,21,1,147.291329149424,1,124.705729420132,1,131.435354432413,1.25055871575415,1.56667247346528,1.22122655892179,1.50626633569034,1.23380777681444,1.52354767509196,1.22709408057776,1.51057695304094,1.20832350671671,1.43271905611149,1.21788064234221,1.45524096911132
200,22,1,55.2778079619008,1,55.5562108201441,1,55.4306519962367,1.21701419026005,1.56995124329677,1.21516897238204,1.56258609720725,1.21625118383111,1.56485860522299,1.20012258281474,1.42506424214361,1.19984002982901,1.41844834694486,1.20082674778983,1.41997535699092
200,23,1,4.46410015596149,1.04824858841949,3.97892103557922,1.01025098185601,4.17567865842608,1,5.91496779471656,1,6.40649938510818,1,6.17984864022248,1.24065294094685,1.67807581710174,1.23986207285441,1.63446516857724,1.24247251036374,1.65122384263403
200,24,1,6.7348867511006,1,6.82600123425019,1,6.79349065587617,1,3.90628388315541,1,3.77534952846168,1,3.81821502016682,1.27841992436894,1.63678473894501,1.2671752323571,1.60849257405291,1.27224120828024,1.61674824644987
200,25,1,16.6651689847423,1,14.861539287595,1,15.3720390233607,1.08030125043321,2.01246547085271,1.05365706305179,2.02879987259211,1.06207326285512,2.02357234745445,1.15015507990154,1.42110813395397,1.13552778140166,1.39193293488716,1.14133124388428,1.39954778857752
200,26,1,37.364373859244,1,50.9719280856552,1,41.7851038817115,Inf,Inf,Inf,Inf,Inf,Inf,1.53213652075255,1.84398147180574,1.50329632089501,1.81619057905066,1.52270643439073,1.82989221236583
200,27,1,42.9721673710414,1,27.9669755416992,1,33.0302697928844,1.31571623630497,2.15011512245682,1.21033818225974,1.99587340988561,1.25892660053319,2.05656245449399,1.30774069159593,1.83622618841269,1.23974996171703,1.5857149206277,1.27486247043845,1.68242200864074
200,28,1,6.45364259796331,1,5.34101725954698,1,5.74229405372496,1,5.48822574208113,1,5.50745533501423,1,5.49905536641168,1.3346745249637,1.96329554353758,1.29331358013882,1.74732742468305,1.31819126990972,1.82420361672654
200,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,30,1,6.34393478203887,1.07287771484168,5.73592073267586,1.04618136984415,5.91946345696245,1,5.36734420462035,1,5.46898563447081,1,5.43499340620637,1.38645058720265,1.94937835064143,1.35765286172809,1.8776257700466,1.36916527992313,1.89861810144903
200,31,1,13.2523232742106,1,10.3111498875724,1,11.1784342442763,1,2.61406492581789,1,2.66117418231005,1,2.64385569451777,1.19118016096122,1.58995005961819,1.16100377710503,1.47246048097758,1.17542793443217,1.50862799067498
200,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,33,1.36638678626143,4.95123903661499,1.35253505668364,3.96203810154601,1.38232702487143,4.26393637452366,1.17104244225877,4.62503026285199,1,4.93816520331524,1.05696518608913,4.81469548236035,1.30009024637707,1.72272054163299,1.22581191880237,1.57399873459262,1.26088436098884,1.61749394144373
200,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
200,35,1,6.55833090083614,1,6.0259557116353,1,6.20955508118672,1.06574663992741,3.27451677244761,1.0165519244339,3.36999707958487,1.03603486947947,3.33304181086849,1.20770320738495,1.54513384536628,1.19778738280784,1.50046311661747,1.20342973348359,1.51503513359972
200,36,22.0630912536668,35.5669066938733,40.6457751040969,58.4844743153403,24.5373725696365,33.5944279780439,Inf,Inf,Inf,Inf,Inf,Inf,1,1.15224587083218,Inf,Inf,1,1.12954783304613
200,37,7.48050173002851,56.9795439524222,2.86123654627409,64.5674006267469,7.21536910093935,52.3131895305822,1.13238576583601,1.50623044776093,1.02675749664033,1.32576037972902,1.06761337013697,1.37864805987082,1.25498878896967,1.59546357978345,1.2038432786001,1.45338408280796,1.23828576534468,1.50248410474353
200,38,1,8.21737231951432,1,7.17607845062111,1,7.45014852981723,1,3.9954371228215,1,4.04540510128455,1,4.03041014534068,1.32892570746485,1.84262309651766,1.2991550566573,1.74660236071629,1.310860770873,1.77095519346717
200,39,1,50.0602978646548,1,45.2901093633009,1,46.7597594939276,1.23535499023669,1.63944385234922,1.20861611433221,1.58947035043022,1.21973780584304,1.60396730894193,1.20950759267377,1.47995481649262,1.19397807904382,1.41195667076883,1.20309893297595,1.43064688109506
200,40,1,8.12809081414001,1,8.11462683848167,1,8.11817844749604,1,3.47251141419273,1,3.47742961988967,1,3.47549845507892,1.25305445709928,1.62126539229102,1.25024730141285,1.62670646588225,1.25212184223694,1.62386998578884
200,41,1,33.187780339192,1,31.1552322327116,1,31.8908393080867,1.1743988285779,2.01292123349523,1.16942504039515,1.96866357353257,1.17202176364436,1.98508511226058,1.2335434678354,1.62162059294641,1.22697148584557,1.56764070222607,1.2320792615332,1.58584010382268
200,42,64.3118144828422,102.662561663787,78.3895149425842,111.615792901225,73.3286922898017,97.2799395383124,1.09471233709098,1.37817759122415,1.07124662974628,1.33274905071559,1.09001483285327,1.35721612609734,1.12506302030434,1.39993841917392,1.08947417382997,1.34394103188551,1.11648638139074,1.37558116248044
