"n","iteration","INNE","IEIN","INNT","DNNE","DEIN","DNNT","NNE","EIN","NNT"
200,1,20.9033384252421,20.6133400838867,20.7240317285021,1.36093113864766,1.36826800144185,1.36543396338997,1.277742531951,1.28309874009834,1.28103129225333
200,2,5.57206003313582,5.1209490915917,5.29233491060661,1.82868412346759,1.80492787794406,1.81435592180354,1.37682610055246,1.33455211775238,1.35114632261522
200,3,27.734170525124,21.0440946174424,23.075824435843,1.66957575263388,1.55734088759327,1.59651392388252,1.57477547897304,1.45003307346659,1.49320564916654
200,4,38.5811443900613,26.3722587058802,29.8695456117917,1.72590699628452,1.57794561794966,1.62963766818969,1.65200541188825,1.48886174778017,1.54532694476681
200,5,20.1161047391849,57.3807400629986,29.8944805068469,-3.0134552399631,-2.78382844720039,-2.85289943380627,0.547110616211856,0.550397845908011,0.568630100271498
200,6,7.71097385918656,7.60623118537184,7.64308747469872,1.72933478260947,1.72839450916506,1.72872818915278,1.41254442078008,1.40836586772552,1.40984642075013
200,7,7.05280100410736,6.72506823395616,6.84919410809412,1.66240708192471,1.61284901292813,1.63182105747725,1.34530652864453,1.30086679225127,1.3178444978744
200,8,5.23815953110197,5.04820251031367,5.11591879689613,1.89254619097053,1.8735597164123,1.88044546960502,1.39024933344348,1.36643076760406,1.37502936769999
200,9,1.48868876585595,1.4579016508804,1.46822538301477,45.125887540116,45.3466768134072,45.2713664516786,1.44114582076867,1.41248991353814,1.42210418916805
200,10,7.21173320127656,5.14254880047697,5.84716059075109,2.11926157192298,1.97921598017212,2.03572143414418,1.63793322320846,1.42917014183574,1.51000463320869
200,11,12.2142647944907,10.41269763241,10.953948529608,1.60747769933062,1.61361390036523,1.61155306148388,1.42052699069157,1.39710946237889,1.40486785666725
200,12,4.19293335677928,4.26877137694283,4.23354797132533,2.14124124040768,2.13114131754698,2.13577542258933,1.41740359134253,1.42148111876353,1.41960254625386
200,13,5.24702813997348,4.90070774380216,5.02547194624729,1.88468555875844,1.88409107984412,1.88378966945517,1.40670488437272,1.3834601762166,1.39157159602585
